HALL VOLTAGE,v0 =,-23.89,,,
,,,,,
I_c / A,B / mT,Reading 1 V / muV,Reading 2 V / muV,Average Voltage / muV,V_h
0.0,0.0,-23.87,-23.77,-23.82,0.07
0.5,20.3,-23.40,-23.45,-23.43,0.46
1.0,41.3,-23.02,-22.95,-22.99,0.90
1.5,63.0,-22.61,-22.61,-22.61,1.28
2.0,84.8,-22.20,-22.10,-22.15,1.74
2.5,106.3,-22.11,-22.13,-22.12,1.77
3.0,127.6,-22.87,-21.83,-22.35,1.54
3.5,148.8,-21.55,-21.60,-21.58,2.31
4.0,169.9,-21.14,-21.21,-21.18,2.68
4.5,190.6,-20.88,-20.86,-20.87,3.03
5.0,210.5,-20.53,-20.48,-20.51,3.38
5.5,229.3,-20.31,-20.23,-20.27,3.66
6.0,246.3,-19.88,-19.88,-19.88,4.01
6.5,261.0,-19.60,-19.79,-19.70,4.19
7.0,273.0,-19.79,-19.46,-19.63,4.26
7.5,282.4,-19.31,-19.31,-19.31,4.58
8.0,290.0,-19.17,-19.23,-19.20,4.69
8.5,296.4,-19.08,-19.21,-19.15,4.74
9.0,301.9,-19.02,-19.09,-19.06,4.83
9.5,307.0,-18.96,-19.00,-18.98,4.91
10.0,310.5,-18.93,-18.95,-18.94,4.95